CHROMATOGRAM,
lion3_spiked_ba5_10000times_1to1_lc1.raw,
Data points: 3590,
Time,Intensity
0.75149407,0
0.75381693,0
0.75831698,0
0.7606419,0
0.76296483,0
0.76528981,0
0.76761268,0
0.7699356,0
0.7722606,0
0.7745835,0
0.77690846,0
0.77923138,0
0.78155423,0
0.78387927,0
0.78620217,0
0.78852507,0
0.79085005,0
0.79317293,0
0.79549793,0
0.7978208,0
0.80014373,0
0.80246872,0
0.80479162,0
0.8071166,0
0.80943947,0
0.8117624,0
0.81408737,0
0.8164103,0
0.81873526,0
0.82105817,0
0.82338107,0
0.82570605,0
0.82802898,0
0.83035183,0
0.83267685,0
0.83499968,0
0.8373247,0
0.84182265,0
0.8441455,0
0.8464684,0
0.84879338,0
0.85111625,0
0.85344127,0
0.85577038,0
0.85809541,0
0.8604183,0
0.86274122,0
0.86506618,0
0.86738907,0
0.86971406,0
0.87203696,0
0.87435988,0
0.87668693,0
0.87901193,0
0.88133482,0
0.88365772,0
0.8859827,0
0.88830557,0
0.89062852,0
0.8929535,0
0.89527635,0
0.89760138,0
0.89992428,0
0.90224717,0
0.90457213,0
0.90689505,0
0.90922628,0
0.9115492,0
0.91387416,0
0.91619708,0
0.91852205,0
0.92084493,0
0.92535122,0
0.92767408,0
0.92999906,0
0.93232405,0
0.93464695,0
0.93696982,0
0.93929483,0
0.9416177,0
0.94394065,0
0.9462698,0
0.94859268,0
0.95091558,0
0.95324058,0
0.95556346,0
0.95788842,0
0.96021135,0
0.96254258,0
0.96486548,0
0.96719048,0
0.96951337,0
0.97183626,0
0.97416125,0
0.97649248,0
0.97881538,0
0.98114038,0
0.98347995,0
0.98580285,0
0.98812783,0
0.99045072,0
0.99277362,0
0.99509857,0
0.9974215,0
0.99974648,0
1.0020694,0
1.0043923,0
1.0088902,0
1.0112131,0
1.013538,0
1.015861,0
1.0181838,0
1.0205088,0
1.0228318,0
1.0251567,0
1.0274796,0
1.0298025,0
1.0321275,0
1.0344504,0
1.0367754,0
1.0390983,0
1.0414212,0
1.0437461,0
1.0460691,0
1.048394,0
1.0507169,0
1.0530399,0
1.0553649,0
1.0576877,0
1.0600106,0
1.0623356,0
1.0646585,0
1.0669835,0
1.0693064,0
1.0716293,0
1.0739543,0
1.0762772,0
1.0786022,0
1.0809251,0
1.083248,0
1.0855729,0
1.0878958,0
1.092396,0
1.0947187,0
1.0970437,0
1.0993666,0
1.1016895,0
1.1040145,0
1.1063374,0
1.1086624,0
1.1109853,0
1.1133082,0
1.1156332,0
1.117956,0
1.120281,0
1.1226039,0
1.1249268,0
1.1272518,0
1.1295747,0
1.1318997,0
1.1342226,0
1.1365455,0
1.1388705,0
1.1411934,0
1.1435184,0
1.1458412,0
1.1481642,0
1.1504892,0
1.1528121,0
1.155137,0
1.1574599,0
1.1597828,0
1.1621078,0
1.1644307,0
1.1667536,0
1.1690786,0
1.1714015,0
1.1758975,0
1.1782202,0
1.1805452,0
1.1828681,0
1.1851931,0
1.187516,0
1.1898389,0
1.1921639,0
1.1944868,0
1.1968118,0
1.1991347,0
1.2014576,0
1.2037825,0
1.2061054,0
1.2084304,0
1.2107533,0
1.2130804,0
1.2154033,0
1.2177283,0
1.2200512,0
1.2223741,0
1.224699,0
1.2270261,0
1.229349,0
1.231674,0
1.2339969,0
1.2363198,0
1.2386448,0
1.2409677,0
1.2432906,0
1.2456155,0
1.2479385,0
1.2502635,0
1.2525864,0
1.2549113,0
1.2594074,0
1.26173,0
1.264055,0
1.2663779,0
1.2687008,0
1.2710258,0
1.2733487,0
1.2756737,0
1.2779966,0
1.2803195,0
1.2826445,0
1.2849674,0
1.2872924,0
1.2896153,0
1.2919382,0
1.2942632,0
1.2965861,0
1.298911,0
1.301234,0
1.3035652,0
1.3058881,0
1.3082131,0
1.310536,0
1.3128589,0
1.3151838,0
1.3175067,0
1.3198359,0
1.3221588,0
1.3244838,0
1.3268067,0
1.3291296,0
1.3314546,0
1.3337775,0
1.3361003,0
1.3384253,0
1.3429172,0
1.345242,0
1.3475648,0
1.3498899,0
1.3522127,0
1.3545356,0
1.3568606,0
1.3591835,0
1.3615085,0
1.3638314,0
1.3661543,0
1.3684793,0
1.3708022,0
1.3731272,0
1.3754501,0
1.377773,0
1.380098,0
1.3824208,0
1.3847437,0
1.3870687,0
1.3893916,0
1.3917167,0
1.3940395,0
1.3963624,0
1.3986874,0
1.4010103,0
1.4033353,0
1.4056581,0
1.4079811,0
1.4103061,0
1.412629,0
