,NCBI_IDs,NCBI_taxa,,,Symbol,Size,Color,Fill,Position,Label
43,1377,Aerococcus_viridans,Aerococcus_viridans|1377,Aerococcus_viridans|1377,NA,NA,NA,NA,NA,NA
44,1390,Bacillus_amyloliquefaciens,Bacillus_amyloliquefaciens|1390,Bacillus_amyloliquefaciens|1390,NA,NA,NA,NA,NA,NA
45,1397,Niallia_circulans,Niallia_circulans|1397,Niallia_circulans|1397,Circle,10,#FF000,NA,1,NA
46,1402,Bacillus_licheniformis,Bacillus_licheniformis|1402,Bacillus_licheniformis|1402,NA,NA,NA,NA,NA,NA
47,1404,Priestia_megaterium,Priestia_megaterium|1404,Priestia_megaterium|1404,NA,NA,NA,NA,NA,NA
48,1409,Bacillus_sp.__in_Bacteria,Bacillus_sp.__in_Bacteria|1409,Bacillus_sp.__in_Bacteria|1409,Circle,10,#FF000,NA,1,NA
49,1478,Peribacillus_simplex,Peribacillus_simplex|1478,Peribacillus_simplex|1478,NA,NA,NA,NA,NA,NA
50,1498,Hathewaya_histolytica,Hathewaya_histolytica|1498,Hathewaya_histolytica|1498,NA,NA,NA,NA,NA,NA
51,1579,Lactobacillus_acidophilus,Lactobacillus_acidophilus|1579,Lactobacillus_acidophilus|1579,NA,NA,NA,NA,NA,NA
52,1583,Weissella_confusa,Weissella_confusa|1583,Weissella_confusa|1583,NA,NA,NA,NA,NA,NA
53,1590,Lactiplantibacillus_plantarum,Lactiplantibacillus_plantarum|1590,Lactiplantibacillus_plantarum|1590,NA,NA,NA,NA,NA,NA
54,1605,Ligilactobacillus_animalis,Ligilactobacillus_animalis|1605,Ligilactobacillus_animalis|1605,NA,NA,NA,NA,NA,NA
55,1624,Ligilactobacillus_salivarius,Ligilactobacillus_salivarius|1624,Ligilactobacillus_salivarius|1624,NA,NA,NA,NA,NA,NA
56,1639,Listeria_monocytogenes,Listeria_monocytogenes|1639,Listeria_monocytogenes|1639,NA,NA,NA,NA,NA,NA
57,1655,Actinomyces_naeslundii,Actinomyces_naeslundii|1655,Actinomyces_naeslundii|1655,NA,NA,NA,NA,NA,NA
58,1667,Arthrobacter_sp.,Arthrobacter_sp.|1667,Arthrobacter_sp.|1667,NA,NA,NA,NA,NA,NA
59,1671,Pseudarthrobacter_oxydans,Pseudarthrobacter_oxydans|1671,Pseudarthrobacter_oxydans|1671,NA,NA,NA,NA,NA,NA
60,1701,Brevibacterium_sp.,Brevibacterium_sp.|1701,Brevibacterium_sp.|1701,NA,NA,NA,NA,NA,NA
61,1720,Corynebacterium_sp.,Corynebacterium_sp.|1720,Corynebacterium_sp.|1720,NA,NA,NA,NA,NA,NA
62,1750,Arachnia_propionica,Arachnia_propionica|1750,Arachnia_propionica|1750,Circle,10,#FF000,NA,1,NA
63,1771,Mycolicibacterium_phlei,Mycolicibacterium_phlei|1771,Mycolicibacterium_phlei|1771,NA,NA,NA,NA,NA,NA
64,1776,Mycolicibacterium_flavescens,Mycolicibacterium_flavescens|1776,Mycolicibacterium_flavescens|1776,NA,NA,NA,NA,NA,NA
65,1778,Mycobacterium_gordonae,Mycobacterium_gordonae|1778,Mycobacterium_gordonae|1778,NA,NA,NA,NA,NA,NA
66,1781,Mycobacterium_marinum,Mycobacterium_marinum|1781,Mycobacterium_marinum|1781,NA,NA,NA,NA,NA,NA
67,1785,Mycobacterium_sp.,Mycobacterium_sp.|1785,Mycobacterium_sp.|1785,NA,NA,NA,NA,NA,NA
68,1791,Mycolicibacterium_aurum,Mycolicibacterium_aurum|1791,Mycolicibacterium_aurum|1791,NA,NA,NA,NA,NA,NA
69,1793,Mycolicibacterium_fallax,Mycolicibacterium_fallax|1793,Mycolicibacterium_fallax|1793,NA,NA,NA,NA,NA,NA
70,1804,Mycolicibacterium_gilvum,Mycolicibacterium_gilvum|1804,Mycolicibacterium_gilvum|1804,NA,NA,NA,NA,NA,NA
71,1818,Nocardia_globerula,Nocardia_globerula|1818,Nocardia_globerula|1818,NA,NA,NA,NA,NA,NA
72,1821,Nocardia_sp.,Nocardia_sp.|1821,Nocardia_sp.|1821,NA,NA,NA,NA,NA,NA
73,1828,Rhodococcus_fascians,Rhodococcus_fascians|1828,Rhodococcus_fascians|1828,NA,NA,NA,NA,NA,NA
74,1831,Rhodococcus_sp.,Rhodococcus_sp.|1831,Rhodococcus_sp.|1831,NA,NA,NA,NA,NA,NA
