,Actinomycetia,Coriobacteriia,Bacteroidia,Flavobacteriia,Bacilli,Clostridia,Negativicutes,Tissierellia,Fusobacteriia,Alphaproteobacteria,Betaproteobacteria,Gammaproteobacteria,Agaricomycetes,Basidiobolomycetes,Eurotiomycetes,Spirochaetia,Verrucomicrobiae,N/A
Trihydroxy_104.99,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Trihydroxy_113.08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Trihydroxy_113.09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Trihydroxy_114.04,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trihydroxy_114.08,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trihydroxy_126.11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trihydroxy_128.06,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Trihydroxy_128.09,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Trihydroxy_128.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trihydroxy_129.03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trihydroxy_129.04,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Trihydroxy_129.05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trihydroxy_137.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trihydroxy_137.06,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Trihydroxy_147.04,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Trihydroxy_147.07,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1
Trihydroxy_163.06,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trihydroxy_172.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Trihydroxy_186.07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trihydroxy_186.08,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trihydroxy_372.26,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Trihydroxy_372.27,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Trihydroxy_389.29,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Trihydroxy_391.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Trihydroxy_407.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Trihydroxy_407.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tetrahydroxy_55.02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tetrahydroxy_106.01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Tetrahydroxy_372.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetrahydroxy_388.26,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1
Tetrahydroxy_405.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tetrahydroxy_495.27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
