NCBI_IDs,Symbol,Size,Color,Fill,Position,Label
1316586,Circle,10,#FF000,,1,
1316587,Circle,10,#FF000,,1,
1316588,Circle,10,#FF000,,1,
999414,Circle,10,#FF000,,1,
693991,Circle,10,#FF000,,1,
860,Circle,10,#FF000,,1,
469599,Circle,10,#FF000,,1,
936562,Circle,10,#FF000,,1,
936563,Circle,10,#FF000,,1,
1032505,Circle,10,#FF000,,1,
457404,Circle,10,#FF000,,1,
879307,Circle,10,#FF000,,1,
1261057,Circle,10,#FF000,,1,
1261058,Circle,10,#FF000,,1,
1261059,Circle,10,#FF000,,1,
1261060,Circle,10,#FF000,,1,
1261061,Circle,10,#FF000,,1,
1261062,Circle,10,#FF000,,1,
1261063,Circle,10,#FF000,,1,
1261064,Circle,10,#FF000,,1,
1261065,Circle,10,#FF000,,1,
1261066,Circle,10,#FF000,,1,
1261067,Circle,10,#FF000,,1,
1261068,Circle,10,#FF000,,1,
1261070,Circle,10,#FF000,,1,
1261071,Circle,10,#FF000,,1,
9606,Circle,10,#FF000,,1,
742737,Circle,10,#FF000,,1,
883119,Circle,10,#FF000,,1,
883123,Circle,10,#FF000,,1,
749535,Circle,10,#FF000,,1,
936594,Circle,10,#FF000,,1,
936595,Circle,10,#FF000,,1,
411468,Circle,10,#FF000,,1,
742740,Circle,10,#FF000,,1,
525361,Circle,10,#FF000,,1,
858653,Circle,10,#FF000,,1,
858649,Circle,10,#FF000,,1,
1596,Circle,10,#FF000,,1,
858666,Circle,10,#FF000,,1,
858667,Circle,10,#FF000,,1,
858668,Circle,10,#FF000,,1,
858669,Circle,10,#FF000,,1,
858670,Circle,10,#FF000,,1,
858672,Circle,10,#FF000,,1,
858673,Circle,10,#FF000,,1,
559301,Circle,10,#FF000,,1,
575603,Circle,10,#FF000,,1,
928327,Circle,10,#FF000,,1,
575605,Circle,10,#FF000,,1,
596326,Circle,10,#FF000,,1,
858663,Circle,10,#FF000,,1,
858665,Circle,10,#FF000,,1,
1287474,Circle,10,#FF000,,1,
858674,Circle,10,#FF000,,1,
858675,Circle,10,#FF000,,1,
858676,Circle,10,#FF000,,1,
483016,Circle,10,#FF000,,1,
411470,Circle,10,#FF000,,1,
1073376,Circle,10,#FF000,,1,
1401076,Circle,10,#FF000,,1,
1285933,Circle,10,#FF000,,1,
1285934,Circle,10,#FF000,,1,
1111454,Circle,10,#FF000,,1,
173365,Circle,10,#FF000,,1,
1203549,Circle,10,#FF000,,1,
596312,Circle,10,#FF000,,1,
47850,Circle,10,#FF000,,1,
1655439,Circle,10,#FF000,,1,
2052,Circle,10,#FF000,,1,
1155739,Circle,10,#FF000,,1,
1054213,Circle,10,#FF000,,1,
201174,Circle,10,#FF000,,1,
1760,Circle,10,#FF000,,1,
226,Circle,10,#FF000,,1,
1813,Circle,10,#FF000,,1,
5052,Circle,10,#FF000,,1,
1386,Circle,10,#FF000,,1,
2,Circle,10,#FF000,,1,
32008,Circle,10,#FF000,,1,
1898207,Circle,10,#FF000,,1,
1321778,Circle,10,#FF000,,1,
N/A,Circle,10,#FF000,,1,
N/A,Circle,10,#FF000,,1,
1117,Circle,10,#FF000,,1,
4751,Circle,10,#FF000,,1,
658082,Circle,10,#FF000,,1,
658085,Circle,10,#FF000,,1,
575593,Circle,10,#FF000,,1,
171,Circle,10,#FF000,,1,
2742,Circle,10,#FF000,,1,
1873,Circle,10,#FF000,,1,
N/A,Circle,10,#FF000,,1,
